
start_station_name,end_station_name,trips
Townsend at 7th,Market at 4th,697
Mountain View Caltrain Station,Mountain View Caltrain Station,697
Yerba Buena Center of the Arts (3rd @ Howard),Townsend at 7th,697
San Jose Diridon Caltrain Station,Ryland Park,696
Civic Center BART (7th at Market),Temporary Transbay Terminal (Howard at Beale),690
Embarcadero at Sansome,Powell at Post (Union Square),689
Market at 4th,Townsend at 7th,685
Mechanics Plaza (Market at Battery),South Van Ness at Market,684
Spear at Folsom,Commercial at Montgomery,683
Powell at Post (Union Square),Townsend at 7th,681
2nd at South Park,Post at Kearny,678
Market at Sansome,Market at 4th,677
Market at Sansome,Townsend at 7th,675
Temporary Transbay Terminal (Howard at Beale),Mechanics Plaza (Market at Battery),668
Steuart at Market,Market at 4th,667
Commercial at Montgomery,San Francisco Caltrain 2 (330 Townsend),666
Powell Street BART,Steuart at Market,663
Market at Sansome,Yerba Buena Center of the Arts (3rd @ Howard),661
Post at Kearny,Washington at Kearny,658
Howard at 2nd,Market at 4th,654
Davis at Jackson,Commercial at Montgomery,654
Market at Sansome,South Van Ness at Market,649
Santa Clara County Civic Center,Ryland Park,647
5th at Howard,Market at 4th,647
5th at Howard,Market at 10th,641
San Jose Diridon Caltrain Station,San Jose Civic Center,641
San Francisco Caltrain 2 (330 Townsend),Clay at Battery,640
Davis at Jackson,Temporary Transbay Terminal (Howard at Beale),640
Market at Sansome,Civic Center BART (7th at Market),640
Clay at Battery,San Francisco Caltrain 2 (330 Townsend),640
Clay at Battery,Grant Avenue at Columbus Avenue,640
Commercial at Montgomery,Market at 4th,638
Market at 4th,Beale at Market,637
Post at Kearny,Harry Bridges Plaza (Ferry Building),629
Beale at Market,Market at 4th,629
South Van Ness at Market,Post at Kearny,628
Stanford in Redwood City,Redwood City Caltrain Station,627
San Francisco Caltrain 2 (330 Townsend),Embarcadero at Vallejo,627
Grant Avenue at Columbus Avenue,Grant Avenue at Columbus Avenue,625
Embarcadero at Bryant,Clay at Battery,624
Temporary Transbay Terminal (Howard at Beale),Grant Avenue at Columbus Avenue,623
Market at 10th,Mechanics Plaza (Market at Battery),623
Harry Bridges Plaza (Ferry Building),Powell at Post (Union Square),621
San Francisco Caltrain (Townsend at 4th),Golden Gate at Polk,619
Harry Bridges Plaza (Ferry Building),Commercial at Montgomery,619
5th at Howard,Market at Sansome,615
Commercial at Montgomery,Powell Street BART,615
San Jose Diridon Caltrain Station,San Jose City Hall,615
San Francisco Caltrain 2 (330 Townsend),Commercial at Montgomery,613
Steuart at Market,Mechanics Plaza (Market at Battery),613
Golden Gate at Polk,Market at Sansome,612
Embarcadero at Sansome,Spear at Folsom,611
Post at Kearny,2nd at South Park,609
Grant Avenue at Columbus Avenue,Powell at Post (Union Square),604
San Francisco City Hall,San Francisco Caltrain 2 (330 Townsend),604
Temporary Transbay Terminal (Howard at Beale),Market at Sansome,598
Davis at Jackson,Beale at Market,597
Embarcadero at Folsom,Steuart at Market,595
Townsend at 7th,Townsend at 7th,595
Ryland Park,Santa Clara County Civic Center,595
Powell at Post (Union Square),Market at Sansome,594
2nd at Townsend,Embarcadero at Bryant,592
Clay at Battery,Powell Street BART,592
Broadway St at Battery St,Clay at Battery,592
Market at 10th,Beale at Market,587
Grant Avenue at Columbus Avenue,Mechanics Plaza (Market at Battery),587
Embarcadero at Vallejo,Beale at Market,586
5th at Howard,Powell Street BART,586
Powell Street BART,San Francisco City Hall,585
2nd at Townsend,Yerba Buena Center of the Arts (3rd @ Howard),582
Temporary Transbay Terminal (Howard at Beale),Powell Street BART,576
Temporary Transbay Terminal (Howard at Beale),Embarcadero at Bryant,576
Harry Bridges Plaza (Ferry Building),Market at 10th,574
Mechanics Plaza (Market at Battery),Embarcadero at Folsom,572
Market at 10th,Harry Bridges Plaza (Ferry Building),572
Market at Sansome,Embarcadero at Folsom,572
Washington at Kearny,Powell Street BART,571
2nd at South Park,2nd at Folsom,571
Steuart at Market,Yerba Buena Center of the Arts (3rd @ Howard),570
Mechanics Plaza (Market at Battery),Temporary Transbay Terminal (Howard at Beale),570
Civic Center BART (7th at Market),Steuart at Market,565
San Francisco Caltrain (Townsend at 4th),Grant Avenue at Columbus Avenue,564
2nd at South Park,Embarcadero at Vallejo,564
Market at 4th,5th at Howard,564
Powell at Post (Union Square),Steuart at Market,563
Grant Avenue at Columbus Avenue,Spear at Folsom,562
Yerba Buena Center of the Arts (3rd @ Howard),Commercial at Montgomery,561
Townsend at 7th,5th at Howard,560
Temporary Transbay Terminal (Howard at Beale),2nd at Folsom,558
Washington at Kearny,Embarcadero at Sansome,558
Market at 4th,Mechanics Plaza (Market at Battery),557
Embarcadero at Folsom,Harry Bridges Plaza (Ferry Building),556
Powell Street BART,Beale at Market,555
Mechanics Plaza (Market at Battery),Civic Center BART (7th at Market),554
2nd at Townsend,Broadway St at Battery St,554
2nd at South Park,Spear at Folsom,554
Embarcadero at Folsom,Townsend at 7th,553
Palo Alto Caltrain Station,Palo Alto Caltrain Station,552
Powell Street BART,5th at Howard,551
2nd at Folsom,Market at 4th,549
Market at 4th,Grant Avenue at Columbus Avenue,548
Market at 10th,Temporary Transbay Terminal (Howard at Beale),548
Civic Center BART (7th at Market),Civic Center BART (7th at Market),547
Powell at Post (Union Square),Davis at Jackson,544
Powell Street BART,2nd at Folsom,544
Davis at Jackson,Spear at Folsom,543
Spear at Folsom,2nd at South Park,540
Beale at Market,Powell Street BART,540
Powell Street BART,Washington at Kearny,540
