
day,trips,subscriber_type
2015-10-21,94,Customer
2015-10-22,116,Customer
2015-10-23,111,Customer
2015-10-24,115,Customer
2015-10-25,130,Customer
2015-10-26,62,Customer
2015-10-27,72,Customer
2015-10-28,71,Customer
2015-10-29,68,Customer
2015-10-30,156,Customer
2015-10-31,76,Customer
2015-11-01,86,Customer
2015-11-02,47,Customer
2015-11-03,42,Customer
2015-11-04,61,Customer
2015-11-05,70,Customer
2015-11-06,99,Customer
2015-11-07,134,Customer
2015-11-08,57,Customer
2015-11-09,42,Customer
2015-11-10,72,Customer
2015-11-11,68,Customer
2015-11-12,56,Customer
2015-11-13,86,Customer
2015-11-14,132,Customer
2015-11-15,59,Customer
2015-11-16,57,Customer
2015-11-17,45,Customer
2015-11-18,50,Customer
2015-11-19,43,Customer
2015-11-20,150,Customer
2015-11-21,107,Customer
2015-11-22,97,Customer
2015-11-23,35,Customer
2015-11-24,41,Customer
2015-11-25,17,Customer
2015-11-26,45,Customer
2015-11-27,56,Customer
2015-11-28,60,Customer
2015-11-29,42,Customer
2015-11-30,33,Customer
2015-12-01,28,Customer
2015-12-02,37,Customer
2015-12-03,15,Customer
2015-12-04,42,Customer
2015-12-05,60,Customer
2015-12-06,15,Customer
2015-12-07,28,Customer
2015-12-08,26,Customer
2015-12-09,29,Customer
2015-12-10,30,Customer
2015-12-11,58,Customer
2015-12-12,53,Customer
2015-12-13,20,Customer
2015-12-14,30,Customer
2015-12-15,41,Customer
2015-12-16,73,Customer
2015-12-17,46,Customer
2015-12-18,19,Customer
2015-12-19,107,Customer
2015-12-20,14,Customer
2015-12-21,8,Customer
2015-12-22,26,Customer
2015-12-23,50,Customer
2015-12-24,17,Customer
2015-12-25,61,Customer
2015-12-26,62,Customer
2015-12-27,88,Customer
2015-12-28,43,Customer
2015-12-29,51,Customer
2015-12-30,34,Customer
2015-12-31,59,Customer
2016-01-01,54,Customer
2016-01-02,53,Customer
2016-01-03,64,Customer
2016-01-04,58,Customer
2016-01-05,19,Customer
2016-01-06,13,Customer
2016-01-07,45,Customer
2016-01-08,46,Customer
2016-01-09,27,Customer
2016-01-10,55,Customer
2016-01-11,51,Customer
2016-01-12,62,Customer
2016-01-13,53,Customer
2016-01-14,29,Customer
2016-01-15,81,Customer
2016-01-16,58,Customer
2016-01-17,34,Customer
2016-01-18,43,Customer
2016-01-19,37,Customer
2016-01-20,45,Customer
2016-01-21,25,Customer
2016-01-22,28,Customer
2016-01-23,71,Customer
2016-01-24,78,Customer
2016-01-25,53,Customer
2016-01-26,39,Customer
2016-01-27,44,Customer
2016-01-28,57,Customer
2016-01-29,21,Customer
2016-01-30,113,Customer
2016-01-31,75,Customer
2016-02-01,38,Customer
2016-02-02,41,Customer
2016-02-03,83,Customer
2016-02-04,61,Customer
2016-02-05,86,Customer
2016-02-06,202,Customer
2016-02-07,122,Customer
2016-02-08,72,Customer
2016-02-09,71,Customer
2016-02-10,52,Customer
2016-02-11,76,Customer
2016-02-12,133,Customer
2016-02-13,148,Customer
2016-02-14,216,Customer
2016-02-15,156,Customer
2016-02-16,65,Customer
2016-02-17,56,Customer
