
start_station_name,end_station_name,trips
2nd at Townsend,Mechanics Plaza (Market at Battery),511
Davis at Jackson,San Francisco Caltrain 2 (330 Townsend),508
Harry Bridges Plaza (Ferry Building),Temporary Transbay Terminal (Howard at Beale),506
2nd at Folsom,Spear at Folsom,504
San Francisco Caltrain 2 (330 Townsend),2nd at South Park,496
San Jose Diridon Caltrain Station,San Jose City Hall,495
Temporary Transbay Terminal (Howard at Beale),Golden Gate at Polk,494
Embarcadero at Bryant,Commercial at Montgomery,492
Grant Avenue at Columbus Avenue,2nd at Townsend,490
Temporary Transbay Terminal (Howard at Beale),Howard at 2nd,490
South Van Ness at Market,Post at Kearny,489
Civic Center BART (7th at Market),Market at 10th,486
San Francisco Caltrain (Townsend at 4th),Golden Gate at Polk,486
Post at Kearny,San Francisco Caltrain 2 (330 Townsend),484
San Francisco Caltrain 2 (330 Townsend),Embarcadero at Vallejo,483
Beale at Market,Spear at Folsom,482
South Van Ness at Market,Market at 4th,481
Market at Sansome,Temporary Transbay Terminal (Howard at Beale),481
2nd at South Park,Steuart at Market,480
Mechanics Plaza (Market at Battery),Market at 10th,476
Mechanics Plaza (Market at Battery),South Van Ness at Market,471
Grant Avenue at Columbus Avenue,Steuart at Market,469
South Van Ness at Market,Townsend at 7th,467
Market at 10th,Yerba Buena Center of the Arts (3rd @ Howard),467
Harry Bridges Plaza (Ferry Building),Yerba Buena Center of the Arts (3rd @ Howard),466
2nd at South Park,Townsend at 7th,464
Market at Sansome,Steuart at Market,461
Embarcadero at Sansome,Market at Sansome,459
Market at 10th,Steuart at Market,458
Embarcadero at Bryant,Embarcadero at Sansome,457
Yerba Buena Center of the Arts (3rd @ Howard),Commercial at Montgomery,456
Adobe on Almaden,San Jose Diridon Caltrain Station,455
Harry Bridges Plaza (Ferry Building),Mechanics Plaza (Market at Battery),454
Howard at 2nd,Townsend at 7th,453
5th at Howard,Steuart at Market,453
Harry Bridges Plaza (Ferry Building),Market at 4th,452
2nd at Townsend,2nd at Folsom,451
Powell Street BART,South Van Ness at Market,447
Market at Sansome,Townsend at 7th,447
Harry Bridges Plaza (Ferry Building),Powell Street BART,446
Embarcadero at Sansome,Powell Street BART,446
Mechanics Plaza (Market at Battery),Embarcadero at Bryant,444
Grant Avenue at Columbus Avenue,Powell Street BART,440
Townsend at 7th,Spear at Folsom,439
Commercial at Montgomery,San Francisco Caltrain 2 (330 Townsend),437
Spear at Folsom,Steuart at Market,435
Embarcadero at Sansome,2nd at Townsend,434
2nd at Townsend,Embarcadero at Sansome,431
Townsend at 7th,Market at Sansome,430
Embarcadero at Sansome,San Francisco Caltrain 2 (330 Townsend),430
Palo Alto Caltrain Station,Park at Olive,429
Spear at Folsom,Commercial at Montgomery,427
Embarcadero at Folsom,Embarcadero at Bryant,425
Clay at Battery,Embarcadero at Sansome,425
San Francisco Caltrain 2 (330 Townsend),2nd at Townsend,424
San Francisco City Hall,San Francisco Caltrain 2 (330 Townsend),424
Mechanics Plaza (Market at Battery),San Francisco Caltrain 2 (330 Townsend),423
Powell at Post (Union Square),San Francisco Caltrain 2 (330 Townsend),419
Temporary Transbay Terminal (Howard at Beale),2nd at Folsom,419
Howard at 2nd,Harry Bridges Plaza (Ferry Building),418
Market at 4th,Harry Bridges Plaza (Ferry Building),415
Commercial at Montgomery,Davis at Jackson,414
Temporary Transbay Terminal (Howard at Beale),Yerba Buena Center of the Arts (3rd @ Howard),412
Civic Center BART (7th at Market),Market at 4th,411
San Jose Diridon Caltrain Station,San Jose Civic Center,411
Embarcadero at Bryant,Townsend at 7th,409
Townsend at 7th,Steuart at Market,404
Embarcadero at Bryant,2nd at Townsend,403
Temporary Transbay Terminal (Howard at Beale),Powell Street BART,401
Clay at Battery,Temporary Transbay Terminal (Howard at Beale),400
Market at 10th,Mechanics Plaza (Market at Battery),400
Temporary Transbay Terminal (Howard at Beale),Grant Avenue at Columbus Avenue,399
2nd at Folsom,Clay at Battery,399
Market at 10th,Temporary Transbay Terminal (Howard at Beale),398
2nd at South Park,Post at Kearny,397
Market at 10th,Civic Center BART (7th at Market),394
Market at Sansome,Broadway St at Battery St,394
Market at Sansome,Yerba Buena Center of the Arts (3rd @ Howard),391
Embarcadero at Vallejo,2nd at Townsend,391
2nd at Townsend,Market at 4th,380
Townsend at 7th,Market at 10th,379
2nd at Folsom,Townsend at 7th,378
Temporary Transbay Terminal (Howard at Beale),Market at Sansome,377
2nd at South Park,Embarcadero at Vallejo,377
Temporary Transbay Terminal (Howard at Beale),Mechanics Plaza (Market at Battery),375
Mechanics Plaza (Market at Battery),Temporary Transbay Terminal (Howard at Beale),374
Howard at 2nd,Market at 4th,372
Embarcadero at Sansome,Embarcadero at Sansome,372
Townsend at 7th,Howard at 2nd,372
2nd at Townsend,Broadway St at Battery St,371
